barcode	sample	name	condition	dilution	B_replicate	total_reads	total_assembled	assembled(%)	non_virus_reads	percentage_non_virus	HA	MP	NA	NP	NS	PA	PB1	PB2
barcode83	Licheri_5uM_E3_2	Licheri_5uM_E3	Licheri_5uM	E3	2	11030.0	10920.0	99.0	110.0	1.0	907	2324	1522	1709	2738	680	439	601
barcode84	Licheri_5uM_E4_2	Licheri_5uM_E4	Licheri_5uM	E4	2	11067.0	10949.0	98.9	118.0	1.1	693	2225	1599	1762	2717	802	492	659
barcode85	Licheri_5uM_E5_2	Licheri_5uM_E5	Licheri_5uM	E5	2	11067.0	10980.0	99.2	87.0	0.8	757	2096	1763	1776	2589	949	413	637
barcode86	Licheri_5uM_E6_2	Licheri_5uM_E6	Licheri_5uM	E6	2	11067.0	10981.0	99.2	86.0	0.8	674	2540	1801	2676	2342	456	151	341
barcode87	Zhou_3P_E5_3	Zhou_3P_E5	Zhou_3P	E5	3	11030.0	10637.0	96.4	393.0	3.6	748	4884	1253	1397	1752	268	107	228
barcode89	Licheri_5uM_E1_3	Licheri_5uM_E1	Licheri_5uM	E1	3	11067.0	10874.0	98.3	193.0	1.7	903	2386	1475	1648	2915	640	321	586
barcode90	Licheri_5uM_E2_3	Licheri_5uM_E2	Licheri_5uM	E2	3	11067.0	10913.0	98.6	154.0	1.4	864	2378	1470	1731	2940	649	344	537
barcode91	Licheri_5uM_E3_3	Licheri_5uM_E3	Licheri_5uM	E3	3	11018.0	10879.0	98.7	139.0	1.3	818	2258	1585	1776	2658	756	408	620
barcode92	Licheri_5uM_E4_3	Licheri_5uM_E4	Licheri_5uM	E4	3	11064.0	10960.0	99.1	104.0	0.9	790	2042	1678	1955	2713	823	416	543
barcode93	Licheri_5uM_E5_3	Licheri_5uM_E5	Licheri_5uM	E5	3	11067.0	11006.0	99.4	61.0	0.6	400	1951	1634	2046	2846	990	530	609
barcode94	Licheri_5uM_E6_3	Licheri_5uM_E6	Licheri_5uM	E6	3	11067.0	10973.0	99.2	94.0	0.8	723	1765	2205	1145	2852	1388	118	777
barcode95	Zhou_3P_E6_3	Zhou_3P_E6	Zhou_3P	E6	3	11028.0	10767.0	97.6	261.0	2.4	1311	5085	1150	1220	1214	257	163	367
